SUBJECT,Time,RecTime,Duration,AWC,CTC,CVC
528,08.00,472,300,58,4,17
528,08.15,1372,300,91,5,40
528,08.25,1972,300,99,6,12
528,09.05,4372,300,161,3,22
528,09.10,4672,300,64,7,21
528,09.15,4972,300,92,9,30
528,09.35,6172,300,68,3,15
528,12.45,17572,300,82,6,20
528,13.10,19072,300,115,7,17
528,14.25,23572,300,168,8,12
528,15.40,28072,300,68,4,18
528,15.45,28372,300,178,8,13
528,15.50,28672,300,189,9,21
528,19.15,40972,300,429,7,19
528,19.20,41272,300,651,16,21
528,19.25,41572,300,488,17,29
528,19.30,41872,300,222,13,54
528,19.35,42172,300,217,5,12
528,19.45,42772,300,148,9,18
528,19.50,43072,300,126,8,15
528,20.15,44572,300,64,7,20
528,20.30,45472,300,244,14,26
528,20.40,46072,300,63,3,16
528,20.45,46372,300,110,11,14
528,21.25,48772,300,92,10,21
528,21.35,49372,300,86,6,23
528,21.40,49672,300,62,9,30
528,21.55,50572,300,241,10,25
528,22.10,51472,300,68,5,15
528,22.15,51772,300,79,6,28
