SUBJECT,Time,RecTime,Duration,AWC,CTC,CVC
13081,6.45,221,300,361,11,27
13081,7,1121,300,201,5,16
13081,7.05,1421,300,235,11,18
13081,7.1,1721,300,348,10,25
13081,7.15,2021,300,269,12,33
13081,7.2,2321,300,189,8,29
13081,7.35,3221,300,218,19,54
13081,8.05,5021,300,143,5,16
13081,8.1,5321,300,152,5,19
13081,8.15,5621,300,375,17,27
13081,8.2,5921,300,506,33,43
13081,8.25,6221,300,182,10,27
13081,8.3,6521,300,353,14,18
13081,10.25,13421,300,178,9,20
13081,10.3,13721,300,233,8,32
13081,10.4,14321,300,719,13,18
13081,10.45,14621,300,324,14,39
13081,10.5,14921,300,208,14,48
13081,11,15521,300,125,9,47
13081,11.15,16421,300,201,9,28
13081,11.2,16721,300,113,15,33
13081,11.45,18221,300,142,14,42
13081,12.35,21221,300,337,8,24
13081,12.4,21521,300,242,7,18
13081,13.5,25721,300,114,9,21
13081,13.55,26021,300,194,8,32
13081,14,26321,300,147,7,18
13081,14.05,26621,300,282,16,45
13081,14.1,26921,300,156,14,37
13081,14.15,27221,300,277,14,45
13081,14.25,27821,300,123,9,39
13081,17.15,38021,300,147,20,44
13081,17.2,38321,300,307,40,64
13081,17.25,38621,300,139,13,47
13081,17.3,38921,300,135,14,47
13081,17.4,39521,300,165,6,23
13081,18.2,41921,300,122,5,35
13081,18.25,42221,300,198,15,47
13081,18.3,42521,300,170,12,39
13081,18.4,43121,300,263,13,33
13081,18.45,43421,300,266,19,31
13081,18.5,43721,300,341,9,16
13081,18.55,44021,300,251,20,44
