SUBJECT,Time,RecTime,Duration,AWC,CTC,CVC
477,6.45,74,300,170,13,18
477,6.5,374,300,74,8,50
477,7.45,3674,300,88,9,31
477,9.05,8474,300,85,5,35
477,9.1,8774,300,113,5,18
477,9.3,9974,300,180,7,32
477,10.05,12074,300,190,7,21
477,10.15,12674,300,89,4,11
477,10.3,13574,300,126,11,41
477,10.45,14474,300,129,6,10
477,12.5,21974,300,120,6,41
477,12.55,22274,300,527,22,42
477,13,22574,300,549,19,34
477,13.2,23774,300,615,6,12
477,13.3,24374,300,241,12,30
477,13.4,24974,300,115,4,22
477,13.45,25274,300,191,5,24
477,17.45,39674,300,93,5,40
477,18.05,40874,300,109,9,37
477,18.35,42674,300,197,8,30
477,18.4,42974,300,87,8,25
477,18.45,43274,300,99,5,14
477,19.15,45074,300,147,10,35
477,19.2,45374,300,145,6,32
477,19.45,46874,300,117,6,12
477,19.5,47174,300,131,7,22
477,20.1,48374,300,139,8,25
477,20.25,49274,300,328,9,54
477,20.3,49574,300,115,6,19
477,21.1,51974,300,105,6,10
477,21.15,52274,300,504,32,53
477,21.2,52574,300,262,13,45
477,21.25,52874,300,198,12,19
